Vs_soil,Vs_bedrock,h_soil,correlation
160.83115,1460.4945,90,0.55133603631313
166.25562,820.5654,20,0.3021641541432503
178.77182,879.26825,10,0.9933598011927198
115.13389,1349.9637,5,0.9903174473181918
152.77707,1143.9136,35,0.7342109623547081
244.66595,1215.0583,75,0.7440422891819602
347.2151,1294.2404,5,0.9911074175072172
213.08205,772.8248,135,0.17042002368981632
129.40613,1378.3865,125,0.7073273449903086
181.43867,1269.2036,60,-0.03991979792260297
163.84454,1328.7252,70,0.3834777567336274
182.8898,925.2175,130,0.47549607341909494
340.0136,1034.4401,90,0.29098943084960366
103.06574,905.79706,55,0.0892750232475165
143.11218,958.51337,110,0.6250081861398853
355.3683,1255.2662,35,0.27435813851427815
295.28952,1345.6328,30,0.822855165792054
100.74152,1330.6499,5,0.9697419030658846
188.59056,892.2084,130,0.5499783119494648
317.6597,1432.8823,40,0.22776749573101027
197.87692,1105.1946,120,0.15827227057878607
271.29626,1018.0624,80,0.13282143348433798
173.98929,778.84595,125,-0.03218263945429379
308.99118,1271.895,130,0.04629258810132347
163.64322,939.9444,130,0.2379637943718294
139.77481,1473.1068,35,0.07447483096768721
248.55617,841.511,100,0.38816748023089165
192.05853,956.6155,120,0.054047995951851016
144.52597,1051.3262,40,0.6610699650175846
214.70242,1138.2284,20,0.8283638450780747
140.06268,904.0706,95,0.803819563883702
216.08147,1200.3658,140,0.008403542790526613
147.14275,1087.8094,15,0.49109176975762747
144.8112,1197.4536,110,0.6713677491401079
110.724174,1212.1261,25,0.6992720284478192
328.7007,1146.9414,20,0.9860993541089983
221.43964,1217.436,65,0.2810217640101876
274.6006,845.8056,95,0.7518407820068679
185.94925,1220.6025,90,0.1389685735185415
203.72841,975.28326,70,0.451914575948408
211.28351,1319.0822,125,-0.10193765486475631
166.30786,821.12317,10,0.9892904104177046
261.07776,882.76373,10,0.9973914520983274
208.93285,1092.7866,80,0.5386590262046167
134.10953,1083.0488,5,0.9952174795046388
341.73007,1417.4535,105,-0.14231587855210093
101.45829,1240.7845,75,0.20613166834421365
168.07678,818.8548,120,-0.048601544724223025
321.6844,982.6514,70,0.08258080014305282
129.05139,1059.2031,15,0.27623977725329685
300.2705,1139.3981,90,0.6608654778137734
191.8039,1434.5164,20,0.5527815281077579
297.85132,1014.44403,115,0.6862315958258451
313.73654,979.7646,30,0.8143984678148766
248.12732,1144.5349,110,0.45885020691417877
107.78933,1249.3966,135,0.7509110121676286
152.55664,1420.665,140,0.028977496127747505
245.63933,1028.6823,50,0.7256263203431866
190.55782,1331.7888,60,-0.06891558016006302
267.7769,1236.1321,140,0.48394856910132455
356.38492,1099.597,95,0.12144779139101082
253.59438,1063.6422,130,0.39512089559154323
