0,1,2
0.01,-1.7583039999999998e-56,-2.0119150000000002e-140
0.02,-4.524227e-56,-2.051861e-127
0.03,-1.3351950000000001e-55,-1.3499680000000002e-119
0.04,-3.962218e-55,-7.083853e-114
0.05,-1.1672460000000001e-54,-2.494635e-109
0.06,-3.419654e-54,-1.525022e-105
0.07,-9.972573e-54,-2.704274e-102
0.08,-2.895325e-53,-1.899076e-99
0.09,-8.368409e-53,-6.477519e-97
0.1,-2.4078940000000003e-52,-1.236425e-94
0.11,-6.8973e-52,-1.463468e-92
0.12,-1.966837e-51,-1.15998e-90
0.13,-5.583477e-51,-6.532662e-89
0.14,-1.577932e-50,-2.738849e-87
0.15,-4.439342999999999e-50,-8.874822e-86
0.16,-1.243357e-49,-2.291666e-84
0.17,-3.466725e-49,-4.836656e-83
0.18,-9.622526e-49,-8.522482e-82
0.19,-2.658917e-48,-1.276543e-80
0.2,-7.314190999999999e-48,-1.650634e-79
0.21,-2.002965e-47,-1.867244e-78
0.22,-5.4604140000000005e-47,-1.869523e-77
0.23,-1.481914e-46,-1.673676e-76
0.24,-4.003733e-46,-1.3518980000000002e-75
0.25,-1.076841e-45,-9.932173000000001e-75
0.26,-2.8832530000000003e-45,-6.685125e-74
0.27,-7.685246e-45,-4.149305e-73
0.28,-2.0392789999999999e-44,-2.389036e-72
0.29,-5.386901e-44,-1.282972e-71
0.3,-1.416592e-43,-6.458666e-71
0.31,-3.708457e-43,-3.062182e-70
0.32,-9.664618000000001e-43,-1.3733620000000001e-69
0.33,-2.5073709999999998e-42,-5.850615e-69
0.34,-6.475817e-42,-2.376779e-68
0.35,-1.664993e-41,-9.242335e-68
0.36,-4.261593e-41,-3.452658e-67
0.37,-1.085857e-40,-1.2434410000000002e-66
0.38,-2.754322e-40,-4.3318070000000003e-66
0.39,-6.955001e-40,-1.4645759999999999e-65
0.4,-1.7483170000000002e-39,-4.820919e-65
0.41,-4.375053e-39,-1.549684e-64
0.42,-1.0898989999999999e-38,-4.8786999999999994e-64
0.43,-2.702891e-38,-1.508294e-63
0.44,-6.672830999999999e-38,-4.5905779999999994e-63
0.45,-1.639949e-37,-1.378544e-62
0.46,-4.012262e-37,-4.092615e-62
0.47,-9.772064e-37,-1.203211e-61
0.48,-2.369306e-36,-3.507957e-61
0.49,-5.718649e-36,-1.015391e-60
0.5,-1.374051e-35,-2.9205670000000004e-60
0.51,-3.286616e-35,-8.353183e-60
0.52,-7.82585e-35,-2.376877e-59
0.53,-1.8550259999999999e-34,-6.731137e-59
0.54,-4.37728e-34,-1.89761e-58
0.55,-1.028238e-33,-5.32644e-58
0.56,-2.404463e-33,-1.488771e-57
0.57,-5.597279e-33,-4.143926e-57
0.58,-1.297089e-32,-1.148707e-56
0.59,-2.99224e-32,-3.1712659999999997e-56
0.6,-6.871575e-32,-8.719468e-56
0.61,-1.570902e-31,-2.3877360000000002e-55
0.62,-3.5749840000000003e-31,-6.51215e-55
0.63,-8.098997000000001e-31,-1.7689130000000002e-54
0.64,-1.826501e-30,-4.785575e-54
0.65,-4.100526e-30,-1.28946e-53
0.66,-9.164102e-30,-3.460424e-53
0.67,-2.03878e-29,-9.24908e-53
0.68,-4.515238e-29,-2.462161e-52
