0,1,2
0.01,-5.743968e-56,-4.105169e-127
0.02,-1.499568e-55,-4.018491e-114
0.03,-4.5119790000000005e-55,-2.524025e-106
0.04,-1.3394500000000002e-54,-1.2570309999999998e-100
0.05,-3.939412e-54,-4.175571e-96
0.06,-1.15336e-53,-2.392414e-92
0.07,-3.362418e-53,-3.949791e-89
0.08,-9.758862e-53,-2.56467e-86
0.09,-2.8196110000000003e-52,-8.030646e-84
0.1,-8.110086e-52,-1.396783e-81
0.11,-2.322252e-51,-1.494878e-79
0.12,-6.619737e-51,-1.062791e-77
0.13,-1.878534e-50,-5.324089e-76
0.14,-5.306942e-50,-1.968483e-74
0.15,-1.492506e-49,-5.575077e-73
0.16,-4.178635e-49,-1.246698e-71
0.17,-1.1646589999999998e-48,-2.2570549999999998e-70
0.18,-3.2315389999999995e-48,-3.3783480000000003e-69
0.19,-8.926178999999999e-48,-4.25567e-68
0.2,-2.454524e-47,-4.580875e-67
0.21,-6.7191500000000005e-47,-4.2695010000000005e-66
0.22,-1.831076e-46,-3.4855849999999997e-65
0.23,-4.967563e-46,-2.5182459999999998e-64
0.24,-1.341606e-45,-1.624983e-63
0.25,-3.607038e-45,-9.444619e-63
0.26,-9.654297e-45,-4.9831590000000006e-62
0.27,-2.572376e-44,-2.4045650000000002e-61
0.28,-6.823259e-44,-1.0688370000000001e-60
0.29,-1.801742e-43,-4.4079680000000004e-60
0.3,-4.736269e-43,-1.698901e-59
0.31,-1.239433e-42,-6.1650900000000005e-59
0.32,-3.228881e-42,-2.122756e-58
0.33,-8.373818e-42,-6.990088e-58
0.34,-2.161907e-41,-2.21885e-57
0.35,-5.556381e-41,-6.841495e-57
0.36,-1.421637e-40,-2.063345e-56
0.37,-3.620982e-40,-6.122818e-56
0.38,-9.181315e-40,-1.795903e-55
0.39,-2.317523e-39,-5.2236490000000005e-55
0.4,-5.8234900000000006e-39,-1.5097890000000002e-54
0.41,-1.4567419999999998e-38,-4.34121e-54
0.42,-3.6276189999999997e-38,-1.242523e-53
0.43,-8.992903999999999e-38,-3.540795e-53
0.44,-2.2193059999999998e-37,-1.0046950000000001e-52
0.45,-5.452218e-37,-2.8386510000000003e-52
0.46,-1.333422e-36,-7.986092e-52
0.47,-3.246385e-36,-2.237172e-51
0.48,-7.868103e-36,-6.240311e-51
0.49,-1.898355e-35,-1.7332229999999998e-50
0.5,-4.559549e-35,-4.7934e-50
0.51,-1.090192e-34,-1.32e-49
0.52,-2.5948979999999998e-34,-3.619469e-49
0.53,-6.148561e-34,-9.882268e-49
0.54,-1.450315e-33,-2.6866369999999997e-48
0.55,-3.405542e-33,-7.272799999999999e-48
0.56,-7.960586e-33,-1.960354e-47
0.57,-1.852415e-32,-5.261477e-47
0.58,-4.291068e-32,-1.406115e-46
0.59,-9.895236e-32,-3.74174e-46
0.6,-2.2715390000000002e-31,-9.914392e-46
0.61,-5.19095e-31,-2.615761e-45
0.62,-1.180881e-30,-6.871781e-45
0.63,-2.6742189999999998e-30,-1.7975449999999998e-44
0.64,-6.028643e-30,-4.681973e-44
0.65,-1.3529230000000002e-29,-1.2142750000000001e-43
0.66,-3.022438e-29,-3.135765e-43
0.67,-6.721585000000001e-29,-8.06322e-43
0.68,-1.488044e-28,-2.064484e-42
0.69,-3.279359e-28,-5.263233e-42
0.7,-7.194338000000001e-28,-1.336077e-41
0.71,-1.571162e-27,-3.377129e-41
0.72,-3.415694e-27,-8.499651999999999e-41
0.73,-7.392036000000001e-27,-2.13006e-40
0.74,-1.592487e-26,-5.315195e-40
0.75,-3.415182e-26,-1.3206360000000002e-39
0.76,-7.290839999999999e-26,-3.2672590000000005e-39
0.77,-1.54941e-25,-8.048593e-39
0.78,-3.277779e-25,-1.974205e-38
0.79,-6.902667000000001e-25,-4.821699e-38
0.8,-1.44703e-24,-1.172582e-37
0.81,-3.019682e-24,-2.8393659999999998e-37
0.82,-6.272879e-24,-6.845958e-37
0.83,-1.297162e-23,-1.6435449999999998e-36
0.84,-2.670192e-23,-3.9288279999999996e-36
0.85,-5.471561000000001e-23,-9.351437e-36
0.86,-1.116091e-22,-2.216293e-35
0.87,-2.266247e-22,-5.230092e-35
0.88,-4.580712e-22,-1.228922e-34
0.89,-9.216724e-22,-2.8752249999999998e-34
0.9,-1.8460229999999998e-21,-6.6981009999999995e-34
0.91,-3.680561e-21,-1.5536860000000002e-33
0.92,-7.304769e-21,-3.588448e-33
0.93,-1.443158e-20,-8.252415e-33
0.94,-2.838149e-20,-1.889671e-32
0.95,-5.556097e-20,-4.308459e-32
