0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,107.1329696498552,1465.3162303036167
119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,119.25964130733541,931.5649659462355,,,,,,,,,,,,,,,
161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,161.41477155121578,1139.067795862922,,,,,,
133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,133.30829819186118,879.7243971539748,,,,,,,,,
223.59607148929132,223.59607148929132,223.59607148929132,223.59607148929132,223.59607148929132,223.59607148929132,223.59607148929132,1350.2135930076408,,,,,,,,,,,,,,,,,,,,,,,
335.9917705402658,335.9917705402658,335.9917705402658,335.9917705402658,335.9917705402658,335.9917705402658,335.9917705402658,335.9917705402658,335.9917705402658,335.9917705402658,335.9917705402658,335.9917705402658,1172.6764753598516,,,,,,,,,,,,,,,,,,
223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,223.93628483271152,1340.4274263885495,,,,,,,,,,,,,,,
185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,185.17513492900827,1183.3381802331796,
296.46232514451225,296.46232514451225,1373.6767219313504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186.62314697527842,186.62314697527842,186.62314697527842,186.62314697527842,186.62314697527842,1084.6670352139795,,,,,,,,,,,,,,,,,,,,,,,,,
