0,1,2
0.01,-4.062458e-56,-1.795193e-144
0.02,-1.061553e-55,-1.929076e-131
0.03,-3.094348e-55,-1.346655e-123
0.04,-9.148479e-55,-7.550928000000001e-118
0.05,-2.6955520000000003e-54,-2.8612e-113
0.06,-7.902533000000001e-54,-1.894785e-109
0.07,-2.305841e-53,-3.6636780000000004e-106
0.08,-6.697577e-53,-2.823154e-103
0.09,-1.93666e-52,-1.0630809999999999e-100
0.1,-5.574919e-52,-2.253325e-98
0.11,-1.597617e-51,-2.978249e-96
0.12,-4.5578e-51,-2.650086e-94
0.13,-1.2944509999999998e-50,-1.683938e-92
0.14,-3.6598539999999996e-50,-8.003984999999999e-91
0.15,-1.030124e-49,-2.953625e-89
0.16,-2.886439e-49,-8.722422e-88
0.17,-8.051602e-49,-2.113627e-86
0.18,-2.235883e-48,-4.2916699999999994e-85
0.19,-6.181054999999999e-48,-7.432292e-84
0.2,-1.701071e-47,-1.1145070000000001e-82
0.21,-4.660455e-47,-1.4660880000000001e-81
0.22,-1.271101e-46,-1.711037e-80
0.23,-3.451261e-46,-1.789245e-79
0.24,-9.328692e-46,-1.6910829999999998e-78
0.25,-2.510203e-45,-1.455747e-77
0.26,-6.724221e-45,-1.149239e-76
0.27,-1.793163e-44,-8.371543e-76
0.28,-4.760382999999999e-44,-5.658150000000001e-75
0.29,-1.2580800000000001e-43,-3.566108e-74
0.3,-3.309927e-43,-2.1054710000000002e-73
0.31,-8.669065e-43,-1.16938e-72
0.32,-2.260317e-42,-6.133211e-72
0.33,-5.866912999999999e-42,-3.048579e-71
0.34,-1.515977e-41,-1.4408909999999999e-70
0.35,-3.899584e-41,-6.496015e-70
0.36,-9.985874e-41,-2.801735e-69
0.37,-2.545633e-40,-1.1592860000000001e-68
0.38,-6.460217e-40,-4.614287e-68
0.39,-1.6320740000000002e-39,-1.771302e-67
0.4,-4.104625e-39,-6.574196e-67
0.41,-1.027656e-38,-2.364906e-66
0.42,-2.561313e-38,-8.264952e-66
0.43,-6.355028999999999e-38,-2.8127669999999997e-65
0.44,-1.569684e-37,-9.342939e-65
0.45,-3.859635e-37,-3.0356729999999997e-64
0.46,-9.447553e-37,-9.669063e-64
0.47,-2.302137e-36,-3.025332e-63
0.48,-5.584464e-36,-9.317040999999999e-63
0.49,-1.348559e-35,-2.8294610000000003e-62
0.5,-3.241872e-35,-8.487731e-62
0.51,-7.758169e-35,-2.518908e-61
0.52,-1.848245e-34,-7.405581e-61
0.53,-4.383253e-34,-2.159456e-60
0.54,-1.034832e-33,-6.251717e-60
0.55,-2.4320840000000002e-33,-1.798366e-59
0.56,-5.6901410000000005e-33,-5.143546e-59
0.57,-1.325264e-32,-1.463432e-58
0.58,-3.072675e-32,-4.143554e-58
0.59,-7.091938e-32,-1.167847e-57
0.6,-1.629472e-31,-3.277167e-57
0.61,-3.727027e-31,-9.157379999999999e-57
0.62,-8.486156e-31,-2.54827e-56
0.63,-1.923499e-30,-7.062342999999999e-56
0.64,-4.340153e-30,-1.949391e-55
0.65,-9.748767e-30,-5.359295e-55
0.66,-2.179844e-29,-1.4675130000000002e-54
0.67,-4.852125e-29,-4.002453e-54
0.68,-1.075149e-28,-1.087286e-53
0.69,-2.371565e-28,-2.941957e-53
0.7,-5.207518e-28,-7.928758e-53
0.71,-1.138296e-27,-2.128391e-52
0.72,-2.4768960000000003e-27,-5.690831000000001e-52
0.73,-5.365226e-27,-1.51558e-51
0.74,-1.1568989999999999e-26,-4.020326e-51
0.75,-2.483302e-26,-1.062243e-50
0.76,-5.306273999999999e-26,-2.795549e-50
0.77,-1.128692e-25,-7.328100999999999e-50
0.78,-2.3899340000000003e-25,-1.913364e-49
0.79,-5.037569e-25,-4.976066e-49
0.8,-1.057012e-24,-1.289014e-48
0.81,-2.20781e-24,-3.3259259999999997e-48
0.82,-4.590566e-24,-8.547743999999999e-48
0.83,-9.50151e-24,-2.1881400000000001e-47
0.84,-1.957674e-23,-5.579353e-47
0.85,-4.015215e-23,-1.417028e-46
0.86,-8.197798e-23,-3.584752e-46
0.87,-1.6661150000000002e-22,-9.032891e-46
0.88,-3.370787e-22,-2.267158e-45
0.89,-6.788528e-22,-5.667933e-45
0.9,-1.360934e-21,-1.41142e-44
0.91,-2.715909e-21,-3.5008749999999996e-44
0.92,-5.395218e-21,-8.649412999999999e-44
0.93,-1.066885e-20,-2.128564e-43
0.94,-2.100104e-20,-5.2176810000000005e-43
0.95,-4.11507e-20,-1.273971e-42
0.96,-8.026501999999999e-20,-3.0983689999999996e-42
0.97,-1.55843e-19,-7.505834e-42
0.98,-3.012029e-19,-1.8111629999999998e-41
0.99,-5.794834999999999e-19,-4.353208e-41
1.0,-1.109768e-18,-1.042209e-40
1.01,-2.115592e-18,-2.485392e-40
1.02,-4.014569e-18,-5.903772e-40
1.03,-7.583198000000001e-18,-1.3968820000000001e-39
1.04,-1.425842e-17,-3.2921930000000005e-39
1.05,-2.668672e-17,-7.728716e-39
1.06,-4.9719000000000005e-17,-1.8072829999999999e-38
1.07,-9.220451000000001e-17,-4.209613e-38
1.08,-1.702094e-16,-9.766883e-38
1.09,-3.127629e-16,-2.257189e-37
1.1,-5.720664e-16,-5.196113e-37
1.11,-1.04154e-15,-1.191484e-36
1.12,-1.887567e-15,-2.721433e-36
1.13,-3.405061e-15,-6.19166e-36
1.14,-6.114236e-15,-1.403192e-35
1.15,-1.092831e-14,-3.167582e-35
1.16,-1.944268e-14,-7.122624e-35
1.17,-3.443105e-14,-1.595343e-34
1.18,-6.069236e-14,-3.559346e-34
1.19,-1.064893e-13,-7.910229e-34
1.2,-1.859796e-13,-1.7511000000000003e-33
1.21,-3.233031e-13,-3.8613240000000004e-33
1.22,-5.594208e-13,-8.481358e-33
1.23,-9.634961e-13,-1.855662e-32
1.24,-1.651743e-12,-4.044239e-32
1.25,-2.818476e-12,-8.779702e-32
1.26,-4.787008e-12,-1.8985770000000002e-31
1.27,-8.092639e-12,-4.089613e-31
1.28,-1.361729e-11,-8.774902e-31
1.29,-2.280679e-11,-1.8754639999999998e-30
1.3,-3.80197e-11,-3.9928409999999996e-30
