0,1,2
0.01,-4.334018e-56,-7.477102e-119
0.02,-1.304728e-55,-6.580714000000001e-106
0.03,-3.942752e-55,-3.66619e-98
0.04,-1.1602320000000001e-54,-1.596334e-92
0.05,-3.4119750000000003e-54,-4.5682639999999996e-88
0.06,-9.98916e-54,-2.221436e-84
0.07,-2.910896e-53,-3.0658490000000003e-81
0.08,-8.444752e-53,-1.6387479999999998e-78
0.09,-2.4389110000000002e-52,-4.1587220000000004e-76
0.1,-7.012158000000001e-52,-5.77007e-74
0.11,-2.007036e-51,-4.847253e-72
0.12,-5.718813e-51,-2.6609919999999998e-70
0.13,-1.622198e-50,-1.012242e-68
0.14,-4.580877e-50,-2.793969e-67
0.15,-1.2877749999999999e-49,-5.806030000000001e-66
0.16,-3.603944e-49,-9.360887e-65
0.17,-1.004066e-48,-1.200481e-63
0.18,-2.7847909999999996e-48,-1.2505860000000001e-62
0.19,-7.68898e-48,-1.077535e-61
0.2,-2.113443e-47,-7.802105e-61
0.21,-5.783059e-47,-4.81652e-60
0.22,-1.575324e-46,-2.570085e-59
0.23,-4.2719590000000004e-46,-1.201672e-58
0.24,-1.153265e-45,-4.994328e-58
0.25,-3.099383e-45,-1.874299e-57
0.26,-8.292124e-45,-6.463235e-57
0.27,-2.2085149999999998e-44,-2.087073e-56
0.28,-5.855694999999999e-44,-6.433133999999999e-56
0.29,-1.5456110000000001e-43,-1.9255630000000002e-55
0.3,-4.061299000000001e-43,-5.669752e-55
0.31,-1.062363e-42,-1.655114e-54
0.32,-2.766452e-42,-4.806909e-54
0.33,-7.1716e-42,-1.3902810000000001e-53
0.34,-1.8507639999999998e-41,-4.0044610000000003e-53
0.35,-4.754753e-41,-1.148491e-52
0.36,-1.2160360000000001e-40,-3.2795910000000002e-52
0.37,-3.096037e-40,-9.324188e-52
0.38,-7.84706e-40,-2.639378e-51
0.39,-1.9799240000000002e-39,-7.438606e-51
0.4,-4.973137e-39,-2.0872819999999997e-50
0.41,-1.243519e-38,-5.831361999999999e-50
0.42,-3.0953819999999995e-38,-1.622026e-49
0.43,-7.670359e-38,-4.49205e-49
0.44,-1.892153e-37,-1.238597e-48
0.45,-4.646605e-37,-3.4002709999999996e-48
0.46,-1.135936e-36,-9.293842999999999e-48
0.47,-2.764459e-36,-2.529153e-47
0.48,-6.69737e-36,-6.852554e-47
0.49,-1.615236e-35,-1.848533e-46
0.5,-3.877975e-35,-4.964772e-46
0.51,-9.268529e-35,-1.327603e-45
0.52,-2.205226e-34,-3.534547e-45
0.53,-5.22314e-34,-9.369056e-45
0.54,-1.2315330000000001e-33,-2.4726009999999997e-44
0.55,-2.890651e-33,-6.496929e-44
0.56,-6.754301000000001e-33,-1.699644e-43
0.57,-1.571085e-32,-4.426933e-43
0.58,-3.637923e-32,-1.1480029999999999e-42
0.59,-8.385733e-32,-2.9639989999999996e-42
0.6,-1.924253e-31,-7.619168e-42
0.61,-4.39558e-31,-1.949985e-41
0.62,-9.995462e-31,-4.968769e-41
0.63,-2.2626729999999997e-30,-1.26055e-40
0.64,-5.098854e-30,-3.183938e-40
0.65,-1.143812e-29,-8.006859e-40
0.66,-2.554275e-29,-2.004714e-39
0.67,-5.678207e-29,-4.997296e-39
0.68,-1.256564e-28,-1.240252e-38
0.69,-2.7681380000000004e-28,-3.064617e-38
0.7,-6.070434000000001e-28,-7.539352999999999e-38
0.71,-1.325197e-27,-1.846643e-37
0.72,-2.879845e-27,-4.503213e-37
0.73,-6.229962e-27,-1.093333e-36
0.74,-1.3416179999999998e-26,-2.642849e-36
0.75,-2.8760649999999996e-26,-6.360364e-36
0.76,-6.137543e-26,-1.523986e-35
0.77,-1.3038150000000002e-25,-3.635538e-35
0.78,-2.757162e-25,-8.634654e-35
0.79,-5.804074e-25,-2.041782e-34
0.8,-1.216263e-24,-4.80686e-34
0.81,-2.537144e-24,-1.1266810000000001e-33
0.82,-5.268482e-24,-2.6292230000000003e-33
0.83,-1.08905e-23,-6.108583e-33
0.84,-2.2409470000000003e-23,-1.412992e-32
0.85,-4.590248e-23,-3.2540510000000003e-32
0.86,-9.359676000000001e-23,-7.460956e-32
0.87,-1.899787e-22,-1.703136e-31
0.88,-3.838557e-22,-3.870692e-31
0.89,-7.7205670000000005e-22,-8.758139e-31
0.9,-1.545781e-21,-1.9729609999999998e-30
0.91,-3.0807979999999998e-21,-4.4249479999999995e-30
0.92,-6.11216e-21,-9.880531e-30
0.93,-1.207095e-20,-2.196517e-29
0.94,-2.373028e-20,-4.8615e-29
0.95,-4.6438479999999997e-20,-1.071241e-28
0.96,-9.0462e-20,-2.35009e-28
0.97,-1.754149e-19,-5.132888e-28
0.98,-3.3859329999999996e-19,-1.1161400000000001e-27
0.99,-6.505800999999999e-19,-2.4163200000000002e-27
1.0,-1.244322e-18,-5.2079720000000004e-27
1.01,-2.369048e-18,-1.117534e-26
1.02,-4.489758e-18,-2.3874269999999998e-26
1.03,-8.469915e-18,-5.077807e-26
1.04,-1.5905280000000002e-17,-1.0752230000000001e-25
1.05,-2.973095e-17,-2.266711e-25
1.06,-5.5319790000000005e-17,-4.757392e-25
1.07,-1.024603e-16,-9.940677e-25
1.08,-1.889004e-16,-2.067934e-24
1.09,-3.46666e-16,-4.282827e-24
1.1,-6.332715e-16,-8.830733e-24
1.11,-1.15151e-15,-1.8127370000000002e-23
1.12,-2.084219e-15,-3.704621e-23
1.13,-3.755052e-15,-7.537429e-23
1.14,-6.734171e-15,-1.526766e-22
1.15,-1.202117e-14,-3.078864e-22
1.16,-2.136008e-14,-6.181258e-22
1.17,-3.777903e-14,-1.235466e-21
1.18,-6.65104e-14,-2.458394e-21
1.19,-1.165515e-13,-4.870103e-21
1.2,-2.032984e-13,-9.604838e-21
1.21,-3.529693e-13,-1.8858469999999998e-20
1.22,-6.099934e-13,-3.686263e-20
1.23,-1.049294e-12,-7.173466e-20
1.24,-1.796601e-12,-1.38974e-19
1.25,-3.061871e-12,-2.680399e-19
1.26,-5.193992e-12,-5.146659e-19
1.27,-8.769873e-12,-9.838087999999999e-19
1.28,-1.473877e-11,-1.872209e-18
1.29,-2.465492e-11,-3.546954e-18
1.3,-4.105049e-11,-6.6898000000000004e-18
1.31,-6.803052e-11,-1.2561060000000001e-17
1.32,-1.122168e-10,-2.347978e-17
1.33,-1.84238e-10,-4.369335e-17
1.34,-3.010686e-10,-8.094484e-17
1.35,-4.896825e-10,-1.492844e-16
1.36,-7.927286e-10,-2.74088e-16
1.37,-1.277301e-09,-5.009737e-16
1.38,-2.048417e-09,-9.115656e-16
1.39,-3.269624e-09,-1.651232e-15
1.4,-5.194324e-09,-2.977651e-15
1.41,-8.21315e-09,-5.34545e-15
1.42,-1.29252e-08,-9.552964e-15
1.43,-2.024461e-08,-1.699551e-14
1.44,-3.155898e-08,-3.010031e-14
1.45,-4.896385e-08,-5.306978e-14
1.46,-7.560739e-08,-9.31455e-14
1.47,-1.161946e-07,-1.627471e-13
1.48,-1.777206e-07,-2.83074e-13
1.49,-2.705307e-07,-4.901406e-13
1.5,-4.098444e-07,-8.448387e-13
1.51,-6.179334e-07,-1.449632e-12
1.52,-9.272163e-07,-2.476118e-12
1.53,-1.384629e-06,-4.210297e-12
1.54,-2.057763e-06,-7.126564e-12
1.55,-3.043425e-06,-1.200804e-11
1.56,-4.479518e-06,-2.014127e-11
1.57,-6.561407e-06,-3.362968e-11
1.58,-9.56435e-06,-5.589561e-11
1.59,-1.387401e-05,-9.248046e-11
1.6,-2.002774e-05,-1.523133e-10
1.61,-2.877004e-05,-2.497118e-10
1.62,-4.112654e-05,-4.075226e-10
1.63,-5.850214e-05,-6.620242e-10
1.64,-8.281015e-05,-1.070541e-09
1.65,-0.0001166411,-1.723208e-09
1.66,-0.0001634821,-2.761055e-09
1.67,-0.0002279988,-4.403652e-09
1.68,-0.0003163966,-6.991155e-09
1.69,-0.0004368791,-1.104792e-08
1.7,-0.0006002241,-1.737823e-08
1.71,-0.0008205036,-2.720952e-08
1.72,-0.001115975,-4.240569e-08
1.73,-0.001510172,-6.578282e-08
1.74,-0.002033236,-1.015741e-07
1.75,-0.002723509,-1.561108e-07
1.76,-0.00362944,-2.388136e-07
1.77,-0.004811823,-3.636289e-07
1.78,-0.006346403,-5.510962e-07
1.79,-0.008326871,-8.3131e-07
1.8,-0.01086825,-1.248135e-06
1.81,-0.01411068,-1.865175e-06
1.82,-0.01822353,-2.774171e-06
1.83,-0.02340982,-4.106754e-06
1.84,-0.02991087,-6.050788e-06
1.85,-0.03801089,-8.872967e-06
1.86,-0.04804152,-1.294986e-05
1.87,-0.0603859,-1.881033e-05
1.88,-0.07548202,-2.719304e-05
1.89,-0.09382485,-3.912413e-05
1.9,-0.115967,-5.602114e-05
1.91,-0.1425169,-7.983152e-05
1.92,-0.1741347,-0.0001132157
1.93,-0.2115243,-0.0001597875
1.94,-0.2554214,-0.0002244281
1.95,-0.306577,-0.0003136921
1.96,-0.3657351,-0.0004363303
1.97,-0.4336045,-0.0006039571
1.98,-0.5108249,-0.0008318949
1.99,-0.5979253,-0.001140237
2.0,-0.695277,-0.001555172
2.01,-0.8030399,-0.002110621
2.02,-0.9211042,-0.002850245
2.03,-1.049027,-0.003829878
2.04,-1.185969,-0.005120464
2.05,-1.33063,-0.006811541
2.06,-1.481185,-0.00901535
2.07,-1.635235,-0.01187162
2.08,-1.789759,-0.01555306
2.09,-1.941087,-0.02027158
2.1,-2.08489,-0.02628528
2.11,-2.216192,-0.03390601
2.12,-2.329415,-0.04350758
2.13,-2.41845,-0.05553437
2.14,-2.476763,-0.07050998
2.15,-2.497544,-0.08904575
2.16,-2.473878,-0.1118486
2.17,-2.398969,-0.1397276
2.18,-2.266381,-0.1735984
2.19,-2.070313,-0.2144855
2.2,-1.805889,-0.2635194
2.21,-1.469462,-0.3219307
2.22,-1.05891,-0.3910364
2.23,-0.5739233,-0.4722198
2.24,-0.01625642,-0.5669019
2.25,0.6100595,-0.6765022
2.26,1.298565,-0.80239
2.27,2.040294,-0.9458224
2.28,2.823774,-1.107872
2.29,3.635131,-1.289339
2.3,4.458281,-1.49066
2.31,5.275235,-1.711792
2.32,6.066497,-1.952106
2.33,6.811559,-2.210262
2.34,7.48947,-2.484085
2.35,8.079476,-2.770456
2.36,8.561699,-3.065196
2.37,8.91783,-3.362983
2.38,9.131817,-3.657282
2.39,9.190512,-3.940314
2.4,9.084246,-4.203067
2.41,8.807319,-4.435349
2.42,8.358354,-4.625906
2.43,7.740524,-4.762595
2.44,6.961613,-4.83263
2.45,6.033919,-4.822887
2.46,4.973989,-4.720287
2.47,3.802187,-4.512233
2.48,2.542127,-4.187103
2.49,1.219972,-3.734785
2.5,-0.1363662,-3.147241
2.51,-1.498095,-2.419074
2.52,-2.836439,-1.548074
2.53,-4.123541,-0.535732
2.54,-5.333319,0.6123261
2.55,-6.442248,1.885996
2.56,-7.430035,3.270477
2.57,-8.280169,4.746203
2.58,-8.980302,6.288939
2.59,-9.522483,7.870065
2.6,-9.903203,9.45704
2.61,-10.12328,11.01407
2.62,-10.1876,12.50295
2.63,-10.10465,13.88408
2.64,-9.886037,15.11757
2.65,-9.545826,16.16457
2.66,-9.099844,16.98848
2.67,-8.564969,17.55634
2.68,-7.958403,17.84006
2.69,-7.296989,17.81764
2.7,-6.596588,17.47414
2.71,-5.871547,16.80255
2.72,-5.134271,15.80438
2.73,-4.394922,14.4899
2.74,-3.661248,12.87823
2.75,-2.938546,10.99696
2.76,-2.229753,8.881565
2.77,-1.535663,6.574476
2.78,-0.8552446,4.123898
2.79,-0.1860567,1.582407
2.8,0.4752816,-0.9946253
2.81,1.132571,-3.55072
2.82,1.789501,-6.030021
2.83,2.449127,-8.378998
2.84,3.113389,-10.54807
2.85,3.782685,-12.49305
2.86,4.455535,-14.17643
2.87,5.128338,-15.56836
2.88,5.795251,-16.64734
2.89,6.44818,-17.40067
2.9,7.07691,-17.82449
2.91,7.669346,-17.92362
2.92,8.211884,-17.71096
2.93,8.689869,-17.20683
2.94,9.088151,-16.43792
2.95,9.391697,-15.43617
2.96,9.586238,-14.23751
2.97,9.658931,-12.88053
2.98,9.598993,-11.40518
2.99,9.398286,-9.851474
3.0,9.051828,-8.25832
3.01,8.558196,-6.662446
3.02,7.919811,-5.097514
3.03,7.143073,-3.593399
3.04,6.238359,-2.175665
3.05,5.219856,-0.8652283
3.06,4.105252,0.3217891
3.07,2.915282,1.374029
3.08,1.673156,2.284714
3.09,0.4038781,3.051337
3.1,-0.8665036,3.675233
3.11,-2.111693,4.161092
3.12,-3.305955,4.516402
3.13,-4.424907,4.750887
3.14,-5.446254,4.875929
3.15,-6.350449,4.904027
3.16,-7.121244,4.848285
3.17,-7.746121,4.721956
3.18,-8.216582,4.538045
3.19,-8.528289,4.308981
3.2,-8.68106,4.04636
3.21,-8.678726,3.760751
3.22,-8.528848,3.461566
3.23,-8.242327,3.156994
3.24,-7.832914,2.853978
3.25,-7.316651,2.558242
3.26,-6.711269,2.274344
3.27,-6.035561,2.005765
3.28,-5.30876,1.755007
3.29,-4.549951,1.52371
3.3,-3.777523,1.312766
3.31,-3.008695,1.122441
3.32,-2.259107,0.9524878
3.33,-1.542515,0.8022485
3.34,-0.8705617,0.6707555
3.35,-0.2526437,0.5568147
3.36,0.3041328,0.4590801
3.37,0.794919,0.3761167
3.38,1.217019,0.306452
3.39,1.569726,0.2486183
3.4,1.854113,0.2011851
3.41,2.072788,0.1627842
3.42,2.229631,0.1321279
3.43,2.329524,0.1080217
3.44,2.378078,0.08937209
3.45,2.38138,0.07519079
3.46,2.345754,0.06459626
3.47,2.277548,0.05681255
3.48,2.182958,0.05116644
3.49,2.067874,0.04708327
3.5,1.937766,0.04408149
3.51,1.797597,0.04176654
3.52,1.65177,0.03982393
3.53,1.504097,0.03801191
3.54,1.357796,0.03615371
3.55,1.215505,0.03412972
3.56,1.079311,0.03186939
3.57,0.9507938,0.02934339
3.58,0.8310737,0.02655583
3.59,0.7208675,0.0235369
3.6,0.6205446,0.02033588
3.61,0.5301829,0.01701482
3.62,0.4496227,0.01364279
3.63,0.3785164,0.01029095
3.64,0.3163741,0.007028348
