0,1,2
0.01,0.0006866458,-1.839145e-53
0.02,-0.001619963,-1.145876e-40
0.03,-0.001305856,-4.316295e-33
0.04,-0.001829282,-1.210083e-27
0.05,-0.002114849,-2.119624e-23
0.06,-0.002604096,-5.987853e-20
0.07,-0.003119177,-4.5480110000000006e-17
0.08,-0.00376578,-1.264582e-14
0.09,-0.004516556,-1.57364e-12
0.1,-0.005414413,-1.005865e-10
0.11,-0.006470454,-3.642538e-09
0.12,-0.007717181,-8.025429e-08
0.13,-0.009181092,-1.133727e-06
0.14,-0.01089779,-1.067039e-05
0.15,-0.0129045,-6.875233e-05
0.16,-0.01524468,-0.0003086878
0.17,-0.01796618,-0.0009746683
0.18,-0.02112288,-0.002167445
0.19,-0.0247744,-0.003385403
0.2,-0.02898684,-0.003754441
0.21,-0.03383302,-0.003262968
0.22,-0.03939278,-0.00303316
0.23,-0.04575329,-0.003673922
0.24,-0.05300919,-0.004633742
0.25,-0.06126273,-0.00555836
0.26,-0.0706237,-0.006670436
0.27,-0.08120935,-0.008040467
0.28,-0.09314401,-0.009637377
0.29,-0.1065587,-0.01153098
0.3,-0.1215909,-0.01376851
0.31,-0.1383845,-0.01639739
0.32,-0.1570923,-0.01948515
0.33,-0.1778802,-0.02309901
0.34,-0.2009312,-0.02731867
0.35,-0.2264365,-0.03223276
0.36,-0.2545593,-0.03794009
0.37,-0.2853849,-0.04455131
0.38,-0.3189109,-0.0521887
0.39,-0.3551313,-0.06098765
0.4,-0.394157,-0.07109687
0.41,-0.4362208,-0.08267922
0.42,-0.4815239,-0.09591204
0.43,-0.5300981,-0.1109875
0.44,-0.5818455,-0.1281127
0.45,-0.6366602,-0.1475096
0.46,-0.6944507,-0.1694143
0.47,-0.7550796,-0.1940769
0.48,-0.8183349,-0.2217599
0.49,-0.8839422,-0.2527369
0.5,-0.9515644,-0.2872906
0.51,-1.020792,-0.32571
0.52,-1.091139,-0.3682874
0.53,-1.162042,-0.4153136
0.54,-1.232858,-0.4670735
0.55,-1.30286,-0.5238411
0.56,-1.371243,-0.5858756
0.57,-1.437121,-0.6534164
0.58,-1.499532,-0.7266749
0.59,-1.557443,-0.8058231
0.6,-1.609757,-0.8909818
0.61,-1.655321,-0.982212
0.62,-1.692938,-1.079509
0.63,-1.72138,-1.182795
0.64,-1.7394,-1.291904
0.65,-1.745751,-1.406572
0.66,-1.739206,-1.52642
0.67,-1.718576,-1.650949
0.68,-1.682731,-1.779528
0.69,-1.630627,-1.911385
0.7,-1.561325,-2.045595
0.71,-1.474019,-2.181077
0.72,-1.368061,-2.316582
0.73,-1.242978,-2.450694
0.74,-1.098507,-2.581827
0.75,-0.9346077,-2.708223
0.76,-0.7514859,-2.827959
0.77,-0.5496115,-2.938952
0.78,-0.3297307,-3.03897
0.79,-0.09287584,-3.125647
0.8,0.1596277,-3.196498
0.81,0.4261594,-3.248947
0.82,0.7048066,-3.280347
0.83,0.9933735,-3.288017
0.84,1.289397,-3.269271
0.85,1.590165,-3.22146
0.86,1.892748,-3.142015
0.87,2.194025,-3.028489
0.88,2.490725,-2.878608
0.89,2.779468,-2.690322
0.9,3.056814,-2.461851
0.91,3.319311,-2.191744
0.92,3.563556,-1.878929
0.93,3.786245,-1.522758
0.94,3.984235,-1.123063
0.95,4.154602,-0.6801942
0.96,4.2947,-0.195063
0.97,4.402211,0.3308254
0.98,4.475205,0.8953444
0.99,4.512178,1.495727
1.0,4.512101,2.128557
1.01,4.474453,2.789765
1.02,4.399244,3.474644
1.03,4.287035,4.177866
1.04,4.138946,4.893518
1.05,3.956654,5.615147
1.06,3.74238,6.335812
1.07,3.498863,7.04816
1.08,3.229329,7.744495
1.09,2.937445,8.416877
1.1,2.627264,9.057213
1.11,2.303163,9.657366
1.12,1.96977,10.20927
1.13,1.631886,10.70503
1.14,1.294405,11.13709
1.15,0.9622224,11.49827
1.16,0.6401478,11.78199
1.17,0.3328164,11.98229
1.18,0.04460076,12.09399
1.19,-0.2204729,12.11279
1.2,-0.4588034,12.03536
1.21,-0.6672861,11.8594
1.22,-0.8433754,11.58372
1.23,-0.9851369,11.20829
1.24,-1.091289,10.73428
1.25,-1.161229,10.16406
1.26,-1.195051,9.501186
1.27,-1.193546,8.750418
1.28,-1.158187,7.917634
1.29,-1.091105,7.009791
1.3,-0.9950464,6.034839
1.31,-0.8733218,5.001627
1.32,-0.7297409,3.919789
1.33,-0.5685372,2.79962
1.34,-0.3942849,1.651937
1.35,-0.2118073,0.4879362
1.36,-0.0260815,-0.6809617
1.37,0.1578609,-1.843269
1.38,0.3350342,-2.987588
1.39,0.5005973,-4.102767
1.4,0.64995,-5.178054
1.41,0.7788233,-6.203238
1.42,0.8833634,-7.16879
1.43,0.9602062,-8.065982
1.44,1.006542,-8.886999
1.45,1.020168,-9.625033
1.46,0.9995295,-10.27436
1.47,0.9437456,-10.83039
1.48,0.8526232,-11.28973
1.49,0.7266559,-11.65019
1.5,0.5670097,-11.91076
1.51,0.3754954,-12.07165
1.52,0.154529,-12.1342
1.53,-0.09292039,-12.10087
1.54,-0.3633913,-11.97513
1.55,-0.6530002,-11.76142
1.56,-0.9575187,-11.46504
1.57,-1.272456,-11.09203
1.58,-1.593144,-10.64908
1.59,-1.914826,-10.14343
1.6,-2.232743,-9.5827
1.61,-2.542219,-8.974817
1.62,-2.838744,-8.32787
1.63,-3.118047,-7.65
1.64,-3.376172,-6.949291
1.65,-3.609533,-6.233663
1.66,-3.814972,-5.51077
1.67,-3.9898,-4.787922
1.68,-4.131835,-4.072
1.69,-4.239418,-3.369391
1.7,-4.311433,-2.685937
1.71,-4.347305,-2.026886
1.72,-4.346992,-1.396864
1.73,-4.310973,-0.7998571
1.74,-4.240216,-0.2391975
1.75,-4.136151,0.2824309
1.76,-4.000624,0.7629826
1.77,-3.835856,1.20103
1.78,-3.644388,1.595736
1.79,-3.429034,1.946817
1.8,-3.192819,2.254507
1.81,-2.938926,2.519508
1.82,-2.670638,2.742944
1.83,-2.391283,2.926311
1.84,-2.104184,3.071423
1.85,-1.812604,3.180364
1.86,-1.519704,3.255431
1.87,-1.228502,3.29909
1.88,-0.9418325,3.313924
1.89,-0.6623198,3.302589
1.9,-0.3923498,3.267773
1.91,-0.1340507,3.21216
1.92,0.110721,3.13839
1.93,0.3403897,3.049034
1.94,0.5536641,2.946566
1.95,0.7495363,2.833341
1.96,0.9272751,2.71158
1.97,1.086417,2.583352
1.98,1.226752,2.450566
1.99,1.348309,2.314966
2.0,1.451332,2.178125
2.01,1.536265,2.041446
2.02,1.603727,1.906165
2.03,1.654488,1.773351
2.04,1.689446,1.64392
2.05,1.709607,1.518633
2.06,1.716054,1.398114
2.07,1.709934,1.282853
2.08,1.692431,1.173222
2.09,1.664746,1.069481
2.1,1.628085,0.9717926
2.11,1.583637,0.8802321
2.12,1.532561,0.7947977
2.13,1.475974,0.7154216
2.14,1.414942,0.6419794
2.15,1.35047,0.5743004
2.16,1.283493,0.5121754
2.17,1.214875,0.4553656
2.18,1.145404,0.4036092
2.19,1.07579,0.3566285
2.2,1.006665,0.3141354
2.21,0.9385832,0.2758368
2.22,0.8720232,0.241439
2.23,0.8073911,0.2106511
2.24,0.7450236,0.1831886
2.25,0.6851923,0.1587758
2.26,0.6281082,0.1371478
2.27,0.5739266,0.1180519
2.28,0.5227522,0.1012492
2.29,0.4746442,0.08651497
2.3,0.4296217,0.07363929
2.31,0.3876684,0.06242709
2.32,0.3487378,0.05269815
2.33,0.3127577,0.04428684
2.34,0.2796346,0.03704164
2.35,0.249258,0.03082464
2.36,0.2215039,0.02551088
2.37,0.1962385,0.02098763
2.38,0.1733211,0.01715364
2.39,0.1526066,0.01391834
2.4,0.1339485,0.01120105
2.41,0.1172005,0.008930235
2.42,0.1022184,0.00704266
2.43,0.08886123,0.005482698
2.44,0.07699309,0.004201592
2.45,0.06648349,0.003156783
2.46,0.05720832,0.00231127
2.47,0.04905031,0.001633017
2.48,0.04189937,0.001094402
2.49,0.03565275,0.0006717092
2.5,0.03021511,0.0003446656
2.51,0.02549843,9.601912e-05
2.52,0.02142192,-8.88424e-05
2.53,0.01791169,-0.0002222349
2.54,0.01490059,-0.0003144848
2.55,0.01232776,-0.0003742033
2.56,0.01013836,-0.0004085283
2.57,0.008283156,-0.0004233388
2.58,0.006718138,-0.000423443
2.59,0.005404119,-0.0004127427
2.6,0.004306356,-0.0003943764
2.61,0.003394167,-0.0003708432
2.62,0.002640564,-0.0003441098
2.63,0.002021902,-0.0003157024
2.64,0.001517551,-0.0002867852
2.65,0.001109581,-0.0002582268
2.66,0.0007824733,-0.0002306567
2.67,0.0005228511,-0.0002045129
2.68,0.0003192336,-0.0001800814
2.69,0.0001618098,-0.0001575292
2.7,4.22333e-05,-0.0001369316
2.71,-4.656294e-05,-0.0001182946
2.72,-0.0001105335,-0.000101573
2.73,-0.0001546694,-8.668505e-05
2.74,-0.0001831312,-7.352409e-05
2.75,-0.0001993664,-6.196803e-05
2.76,-0.0002062136,-5.188634e-05
2.77,-0.0002059933,-4.314565e-05
2.78,-0.0002005877,-3.561381e-05
2.79,-0.0001915101,-2.916297e-05
2.8,-0.0001799648,-2.367161e-05
2.81,-0.0001668991,-1.9026e-05
2.82,-0.0001530475,-1.512098e-05
2.83,-0.0001389695,-1.186036e-05
2.84,-0.0001250824,-9.157024e-06
2.85,-0.0001116881,-6.932679e-06
2.86,-9.899591e-05,-5.117555e-06
